Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2016-02-23,210.93182373046875,214.8299403237963,209.3992272067329,213.9192638038151,18989787
2016-02-24,211.59815979003906,212.90863245948935,209.23262495760966,209.87677067008704,15186204
2016-02-25,209.69908142089844,212.46442742289952,208.97721234652897,211.94245644779164,24826958
2016-02-26,211.08729553222656,212.9530703308181,209.74349168002252,211.67589917470158,8349402
2016-02-29,214.707763671875,220.91588743085188,207.67780705353823,211.29828712554806,31032353
2016-03-01,217.9617462158203,218.7946845128438,214.26352805186028,214.274633500433,16453192
2016-03-02,222.44850158691406,223.39249445752708,219.28335948688377,220.5383049464753,20105967
2016-03-03,224.96951293945312,226.11340390377774,221.560036118672,224.33647265737767,15880459
2016-03-04,223.53684997558594,225.44704648505189,222.8927191155455,225.22492268111878,8987660
2016-03-08,228.11244201660156,228.97868190546507,223.78118326414258,223.78118326414258,13222993
2016-03-09,231.37753295898438,231.8661875641153,226.24666701862736,226.55763443172356,11854901
2016-03-10,224.72515869140625,232.3104025241902,224.11434418867674,231.45525332414834,20706353
2016-03-11,225.3359832763672,228.67882725852658,224.4697434159523,225.42484169656927,15319044
2016-03-14,226.50210571289062,227.97916014115546,224.9917201093004,226.35772004326492,11880095
2016-03-15,226.66868591308594,228.30123144930587,225.46926772872746,227.4460821949375,10487788
2016-03-16,226.94630432128906,227.84587530241808,223.3258391538766,226.77972259405556,11064129
2016-03-17,228.21002197265625,232.90450087008375,227.31155295089692,230.6808042855065,16832997
2016-03-18,230.7257080078125,231.3883217368691,228.1426210198232,228.7153908525975,14030979
2016-03-21,232.99432373046875,233.93771461871566,229.72616207630404,230.8941627027171,12708074
2016-03-22,235.36402893066406,236.35232676204137,232.62370019038252,232.92693832765096,15333442
2016-03-23,231.17494201660156,235.15063937689135,229.6475508009614,235.15063937689135,16806372
2016-03-28,229.1983184814453,231.7364835400348,228.13139221726576,231.35463198404085,18070240
2016-03-29,232.75848388671875,234.0500198712391,229.1533926254241,229.9620026781215,15871250
2016-03-30,235.184326171875,236.2400219180655,234.2072438332131,234.2072438332131,14453294
2016-03-31,234.76876831054688,237.19462827350884,231.96107182089406,233.82539248592545,30833349
2016-04-01,232.3541717529297,235.0158721288943,230.23154974432535,233.3986370268136,12381116
2016-04-04,232.4889373779297,234.09494199155657,230.2989324497089,233.60078557244256,8632568
2016-04-05,230.66954040527344,234.13985063483955,229.60261421912614,231.65785318734285,10259495
2016-04-06,232.19696044921875,232.85957421725038,229.69248672316292,231.82633936127962,6990781
2016-04-07,232.98309326171875,235.39772291706575,229.5801657643891,232.45524538301262,8789163
2016-04-08,232.78094482421875,236.84648604887346,231.62417468299952,232.67985544791964,13411752
2016-04-11,233.6681671142578,234.83618273052312,232.02847104950828,232.92693998695097,10308361
2016-04-12,235.262939453125,237.52034226653623,233.16277844866104,233.66816534790541,11164859
2016-04-13,239.4520263671875,240.3168038208451,236.41972002405012,236.41972002405012,16038542
2016-04-18,239.1600341796875,239.6204991238274,237.05987321157156,239.3958743980651,19065716
2016-04-20,232.99432373046875,240.15958429361248,232.657394129245,240.15958429361248,21687934
2016-04-21,233.85910034179688,236.29617596774642,232.477705475282,233.91525277612988,11380697
